NPRI ID,Facility name,Company name,Address,City,Province,PostalCode,Latitude,Longitude,Emissions,Units,Facility details,Facility information,Report year
31365,Lost Point Lake Compressor Station 07-06-057-23w4,Baytex Energy Ltd,,N/A,Alberta,,53.896358,-113.406406,28.05,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331365&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/31365,2022
31366,Milton Oil Swb 01-28-029-01w4,Baytex Energy Ltd,,N/A,Alberta,,51.505329,-110.07833,,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331366&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/31366,2022
31367,Pembina Compressor Station 12-17-048-05w5,Baytex Energy Ltd,,N/A,Alberta,,53.143275,-114.705334,22.72,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331367&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/31367,2022
31368,Sedalia Oil Swb 04-10-033-05w4,Baytex Energy Ltd.,,,Alberta,,51.810832,-110.639775,,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331368&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2019/31368,2022
31369,Viking Oil Mwb 16-34-033-24w3,Baytex Energy Ltd.,,,Saskatchewan,,51.879666,-109.314994,,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331369&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2019/31369,2022
31370,Viking Oil Swb 02-25-034-25w3,Baytex Energy Ltd,,N/A,Saskatchewan,,51.941648,-109.415352,0.25,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331370&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/31370,2022
31381,Skbt0012886,Baytex Energy Ltd,,N/A,Saskatchewan,,51.593001,-108.749227,0.48,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331381&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/31381,2022
31394,Skbt0031428,Baytex Energy Ltd,,N/A,Saskatchewan,,51.491148,-109.118237,,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331394&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/31394,2022
31398,Gleneath Oil Swb 10-12-031-22w3,Baytex Energy Ltd,,,Saskatchewan,,51.643168,-108.989977,,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331398&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2020/31398,2022
31401,Plato Oil Swb 14-17-026-18w3,Baytex Energy Ltd,,,Saskatchewan,,51.225405,-108.48361,,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331401&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2020/31401,2022
31403,Gleneath Oil Swb 13-05-031-21w3,Baytex Energy Ltd,,N/A,Saskatchewan,,51.632327,-108.954384,,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331403&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/31403,2022
31426,Gleneath Oil Mwb 16-13-031-22w3,Baytex Energy Ltd,,N/A,Saskatchewan,,51.661426,-108.984142,0.32,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331426&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/31426,2022
31434,Lucky Hills Oil Swb 05-01-030-25w3,Baytex Energy Ltd,,,Saskatchewan,,51.53854,-109.399543,,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331434&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2020/31434,2022
31456,Onward Viking Oil Mwb 04-16-034-24w3,Baytex Energy Ltd,,N/A,Saskatchewan,,51.912563,-109.356131,0.26,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331456&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2022/31456,2022
31491,Pbn Lochend 4-11-27-3w5 Oil Swb,Ridgeback Resources Inc.,,Brazeau,Alberta,,51.29821,-114.33293,,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331491&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/31491,2022
31496,Cdn 88 Energy Twining 4-33,Pine Cliff Energy Ltd.,,,Alberta,,51.694448,-113.214443,,Tonnes (t),"http://indicators-map.canada.ca/App/Detail?id=0331496&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2019/31496,2022
